,MESH_CODE,最高路線価,最低路線価,平均路線価,平均最高路,平均最低路,全平均路線,geometry,lat,lng
15,N100W085,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4126276709662 34.77578399786024, 135.4180901276771 34.77581017619301, 135.4181215861089 34.77130287382498, 135.4126594487006 34.77127670839059, 135.4126276709662 34.77578399786024))",135.4153747093572,34.773543461034635
16,N100W080,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4180901276771 34.77581017619301, 135.4235526290051 34.77583612133473, 135.4235837833509 34.77132881105546, 135.4181215861089 34.77130287382498, 135.4180901276771 34.77581017619301))",135.42083703204335,34.773569516518165
17,N100W075,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4235526290051 34.77583612133473, 135.429015250083 34.775861857015, 135.429046141586 34.77135455230247, 135.4235837833509 34.77132881105546, 135.4235526290051 34.77583612133473))",135.42629945019462,34.77359535349394
18,N100W070,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.429015250083 34.775861857015, 135.4344778776357 34.77588734749824, 135.4345085062943 34.77138004839339, 135.429046141586 34.77135455230247, 135.429015250083 34.775861857015))",135.4317619430863,34.77362096936937
19,N100W065,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4344778776357 34.77588734749824, 135.4399405569873 34.77591258830873, 135.4399709160843 34.77140529292354, 135.4345085062943 34.77138004839339, 135.4344778776357 34.77588734749824))",135.4372244636236,34.77364633781158
20,N100W060,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4399405569873 34.77591258830873, 135.4454032446401 34.77593758376036, 135.4454333336644 34.77143029209505, 135.4399709160843 34.77140529292354, 135.4399405569873 34.77591258830873))",135.44268701221904,34.77367145783768
21,N100W055,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4454032446401 34.77593758376036, 135.4508659099148 34.77596229484995, 135.4508957103834 34.77145500173246, 135.4454333336644 34.77143029209505, 135.4454032446401 34.77593758376036))",135.44814954953367,34.77369631295094
22,N100W050,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4508659099148 34.77596229484995, 135.4563285677328 34.77598674173364, 135.4563580712057 34.77147944519793, 135.4508957103834 34.77145500173246, 135.4508659099148 34.77596229484995))",135.45361206488576,34.77372089130212
23,N100W045,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4563285677328 34.77598674173364, 135.4617912191174 34.77601093711547, 135.4618204246458 34.77150363736951, 135.4563580712057 34.77147944519793, 135.4563285677328 34.77598674173364))",135.4590745707329,34.77374521084285
24,N100W040,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4617912191174 34.77601093711547, 135.4672538562028 34.77603487713034, 135.4672827627646 34.77152757470555, 135.4618204246458 34.77150363736951, 135.4617912191174 34.77601093711547))",135.46453706568835,34.773769277138804
25,N100W035,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4672538562028 34.77603487713034, 135.4727164976429 34.77605857454171, 135.4727451051907 34.77155126921539, 135.4672827627646 34.77152757470555, 135.4672538562028 34.77603487713034))",135.46999955548108,34.773793094460274
26,N100W030,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((135.4727164976429 34.77605857454171, 135.4781791259747 34.77608205038139, 135.478207435211 34.77157473851675, 135.4727451051907 34.77155126921539, 135.4727164976429 34.77605857454171))",135.47546204140616,34.77381667868077
