lng,lat
34.74237971,135.502963
34.74240188,135.5084234
34.74242383,135.5138837
34.74244555,135.5193441
34.74246701,135.5248045
34.74248821,135.5302649
34.74250916,135.5357253
34.74252987,135.5411857
34.74255033,135.5466461
34.74257057,135.5521066
34.74259057,135.557567
34.74261028,135.5630275
34.73775801,135.4756894
34.73778135,135.4811495
34.73780445,135.4866096
34.73782733,135.4920696
34.73784997,135.4975297
34.7378724,135.5029898
34.73789459,135.5084499
34.73791655,135.51391
34.73793827,135.5193701
34.73795973,135.5248302
34.73798092,135.5302903
34.73800185,135.5357505
34.73802254,135.5412106
34.73804299,135.5466707
34.7380632,135.5521309
34.73808317,135.557591
34.73810287,135.5630512
34.73313043,135.4484189
34.73315494,135.4538787
34.73317922,135.4593385
34.73322709,135.470258
34.73325067,135.4757178
34.733274,135.4811776
34.73329711,135.4866373
34.73331998,135.4920971
34.73334264,135.4975569
34.73336508,135.5030167
34.73338729,135.5084765
34.73340927,135.5139363
34.733431,135.5193961
34.73345245,135.524856
34.73347362,135.5303158
34.73353563,135.5466953
34.73355582,135.5521552
34.73357576,135.5576151
34.72862311,135.4484488
34.72864763,135.4539083
34.72867191,135.4593677
34.72869595,135.4648272
34.72871976,135.4702867
34.72874333,135.4757462
34.72876666,135.4812056
34.72878976,135.4866651
34.72881263,135.4921246
34.72883529,135.497584
34.72885775,135.5030436
34.72887998,135.5085031
34.72890198,135.5139626
34.72894518,135.5248817
34.72896631,135.5303412
34.7289872,135.5358008
34.72900785,135.5412604
34.72902825,135.5467199
34.72904842,135.5521795
34.72411579,135.4484787
34.72414031,135.4539378
34.72416459,135.459397
34.72418863,135.4648562
34.72421242,135.4703154
34.72423599,135.4757745
34.72425932,135.4812337
34.72428241,135.4866929
34.72430528,135.492152
34.72432793,135.4976112
34.72435041,135.5030704
34.72437267,135.5085297
34.72439469,135.5139889
34.72441647,135.5194481
34.7244379,135.5249074
34.724459,135.5303667
34.72447985,135.535826
34.72450047,135.5412853
34.72452086,135.5467445
34.72454101,135.5522038
34.72456092,135.5576631
34.7245806,135.5631224
34.72465687,135.5849596
34.7195837,135.4430498
34.71960848,135.4485086
34.719633,135.4539674
34.71965728,135.4594263
34.71968131,135.4648851
34.71970509,135.470344
34.71972865,135.4758029
34.71975198,135.4812618
34.71977507,135.4867206
34.71979793,135.4921795
34.71986534,135.5085563
34.71988737,135.5140152
34.71990916,135.5194742
34.71993058,135.5249332
34.71995164,135.5303922
34.71997247,135.5358512
34.71999307,135.5413102
34.72001344,135.5467691
34.72003359,135.5522281
34.72005349,135.5576871
34.72007315,135.5631461
34.72009258,135.5686051
34.72013071,135.5795231
34.72014942,135.584982
34.71505135,135.4376214
34.71507638,135.4430799
34.71510116,135.4485384
34.71512569,135.4539969
34.71514996,135.4594555
34.71517399,135.4649141
34.71519777,135.4703727
34.71522133,135.4758313
34.71524466,135.4812898
34.71526775,135.4867484
34.71529062,135.492207
34.71531327,135.4976656
34.71533574,135.5031242
34.71535799,135.5085829
34.71537999,135.5140416
34.71540175,135.5195002
34.71542316,135.5249589
34.71544421,135.5304177
34.71546504,135.5358764
34.71548565,135.5413351
34.71550602,135.5467937
34.71552615,135.5522524
34.71554605,135.5577111
34.7155657,135.5631697
34.71558512,135.5686284
34.71562325,135.5795458
34.71564196,135.5850045
34.71566041,135.5904631
34.71567862,135.5959218
34.71049318,135.4267356
34.71051873,135.4321937
34.71054402,135.4376519
34.71056906,135.44311
34.71059385,135.4485682
34.71061838,135.4540264
34.71064266,135.4594847
34.71066668,135.464943
34.71069045,135.4704013
34.71071401,135.4758596
34.71076045,135.4867762
34.71078332,135.4922345
34.71080597,135.4976928
34.71082842,135.5031512
34.71085064,135.5086095
34.71087259,135.5140679
34.7108943,135.5195263
34.71091568,135.5249848
34.71093675,135.5304432
34.71095759,135.5359016
34.7109782,135.54136
34.71099858,135.5468183
34.71101871,135.5522767
34.71103861,135.557735
34.71105826,135.5631934
34.71107766,135.5686518
34.71109684,135.5741102
34.71111579,135.5795685
34.7111345,135.5850269
34.71115296,135.5904853
34.71117117,135.5959437
34.70595999,135.4213088
34.70598581,135.4267666
34.70601138,135.4322245
34.70603668,135.4376823
34.70606173,135.4431402
34.70608653,135.448598
34.70611107,135.4540559
